Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-imagingstudies-xml,1,1,0
Cross.list-byid-immunizationevaluations,1,0,0
Cross.list-byid-immunizationevaluations-json,1,0,0
Cross.list-byid-immunizationevaluations-xml,1,0,0
Cross.list-byid-immunizationrecommendations,1,0,0
Cross.list-byid-immunizationrecommendations-json,1,0,0
Cross.list-byid-immunizationrecommendations-xml,1,0,0
Cross.list-byid-immunizations,1,0,0
Cross.list-byid-immunizations-json,1,1,0
Cross.list-byid-immunizations-xml,1,1,0
Cross.list-byid-implementationguides,1,1,175
Cross.list-byid-implementationguides-json,1,1,180
Cross.list-byid-implementationguides-xml,1,1,179
Cross.list-byid-ingredients,1,0,0
Cross.list-byid-ingredients-json,1,0,0
Cross.list-byid-ingredients-xml,1,1,0
Cross.list-byid-insuranceplans,1,1,0
Cross.list-byid-insuranceplans-json,1,1,0
Cross.list-byid-insuranceplans-xml,1,1,0
Cross.list-byid-inventoryitems,1,0,0
Cross.list-byid-inventoryitems-json,1,0,0
Cross.list-byid-inventoryitems-xml,1,1,0
Cross.list-byid-inventoryreports,1,0,0
Cross.list-byid-inventoryreports-json,1,0,0
Cross.list-byid-inventoryreports-xml,1,0,0
Cross.list-byid-invoices,1,0,0
Cross.list-byid-invoices-json,1,0,0
Cross.list-byid-invoices-xml,1,0,0
Cross.list-byid-libraries,1,0,0
Cross.list-byid-libraries-json,1,0,0
Cross.list-byid-libraries-xml,1,0,0
Cross.list-byid-linkages,1,0,0
Cross.list-byid-linkages-json,1,0,0
Cross.list-byid-linkages-xml,1,1,0
Cross.list-byid-lists,1,0,0
Cross.list-byid-lists-json,1,1,0
Cross.list-byid-lists-xml,1,1,0
Cross.list-byid-locations,1,0,0
Cross.list-byid-locations-json,1,0,0
Cross.list-byid-locations-xml,1,0,0
Cross.list-byid-manufactureditemdefinitions,1,0,0
Cross.list-byid-manufactureditemdefinitions-json,1,0,0
Cross.list-byid-manufactureditemdefinitions-xml,1,0,0
Cross.list-byid-measurereports,1,0,0
Cross.list-byid-measurereports-json,1,0,0
Cross.list-byid-measurereports-xml,1,1,0
Cross.list-byid-measures,1,0,0
Cross.list-byid-measures-json,1,0,0
Cross.list-byid-measures-xml,1,0,0
Cross.list-byid-medicationadministrations,1,0,0
Cross.list-byid-medicationadministrations-json,1,0,0
Cross.list-byid-medicationadministrations-xml,1,0,0
Cross.list-byid-medicationdispenses,1,0,555
Cross.list-byid-medicationdispenses-json,1,0,570
Cross.list-byid-medicationdispenses-xml,1,0,567
Cross.list-byid-medicationknowledges,1,0,0
Cross.list-byid-medicationknowledges-json,1,1,0
Cross.list-byid-medicationknowledges-xml,1,1,0
Cross.list-byid-medicationrequests,1,0,2589
Cross.list-byid-medicationrequests-json,1,1,2654
Cross.list-byid-medicationrequests-xml,1,1,2641
Cross.list-byid-medications,1,0,1884
Cross.list-byid-medications-json,1,0,1934
Cross.list-byid-medications-xml,1,0,1924
Cross.list-byid-medicationstatements,1,0,0
Cross.list-byid-medicationstatements-json,1,1,0
Cross.list-byid-medicationstatements-xml,1,1,0
Cross.list-byid-medicinalproductdefinitions,1,0,0
Cross.list-byid-medicinalproductdefinitions-json,1,0,0
Cross.list-byid-medicinalproductdefinitions-xml,1,0,0
Cross.list-byid-messagedefinitions,1,0,0
Cross.list-byid-messagedefinitions-json,1,1,0
Cross.list-byid-messagedefinitions-xml,1,1,0
Cross.list-byid-messageheaders,1,0,0
Cross.list-byid-messageheaders-json,1,0,0
Cross.list-byid-messageheaders-xml,1,0,0
Cross.list-byid-metadataresources,1,0,0
Cross.list-byid-metadataresources-json,1,0,0
Cross.list-byid-metadataresources-xml,1,0,0
Cross.list-byid-molecularsequences,1,0,0
Cross.list-byid-molecularsequences-json,1,0,0
Cross.list-byid-molecularsequences-xml,1,0,0
Cross.list-byid-namingsystems,1,0,0
Cross.list-byid-namingsystems-json,1,0,0
Cross.list-byid-namingsystems-xml,1,0,0
Cross.list-byid-nutritionintakes,1,0,0
Cross.list-byid-nutritionintakes-json,1,0,0
Cross.list-byid-nutritionintakes-xml,1,0,0
Cross.list-byid-nutritionorders,1,0,0
Cross.list-byid-nutritionorders-json,1,1,0
Cross.list-byid-nutritionorders-xml,1,1,0
Cross.list-byid-nutritionproducts,1,0,0
Cross.list-byid-nutritionproducts-json,1,0,0
Cross.list-byid-nutritionproducts-xml,1,0,0
Cross.list-byid-observationdefinitions,1,0,0
Cross.list-byid-observationdefinitions-json,1,0,0
Cross.list-byid-observationdefinitions-xml,1,0,0
Cross.list-byid-observations,1,0,0
Cross.list-byid-observations-json,1,0,0
Cross.list-byid-observations-xml,1,0,0
Cross.list-byid-operationdefinitions,1,0,0
Cross.list-byid-operationdefinitions-json,1,1,0
Cross.list-byid-operationdefinitions-xml,1,1,0
Cross.list-byid-operationoutcomes,1,0,0
Cross.list-byid-operationoutcomes-json,1,0,0
Cross.list-byid-operationoutcomes-xml,1,1,0
Cross.list-byid-organizationaffiliations,1,0,0
Cross.list-byid-organizationaffiliations-json,1,0,0
Cross.list-byid-organizationaffiliations-xml,1,0,0
Cross.list-byid-organizations,1,0,204
Cross.list-byid-organizations-json,1,0,214
Cross.list-byid-organizations-xml,1,0,212
Cross.list-byid-packagedproductdefinitions,1,0,0
Cross.list-byid-packagedproductdefinitions-json,1,0,0
Cross.list-byid-packagedproductdefinitions-xml,1,0,0
Cross.list-byid-parameters,1,0,0
Cross.list-byid-parameters-json,1,0,0
Cross.list-byid-parameters-xml,1,1,0
Cross.list-byid-patients,1,0,246
Cross.list-byid-patients-json,1,0,256
Cross.list-byid-patients-xml,1,0,254
Cross.list-byid-paymentnotices,1,0,0
Cross.list-byid-paymentnotices-json,1,0,0
Cross.list-byid-paymentnotices-xml,1,1,0
Cross.list-byid-paymentreconciliations,1,0,0
Cross.list-byid-paymentreconciliations-json,1,0,0
Cross.list-byid-paymentreconciliations-xml,1,0,0
Cross.list-byid-people,1,1,0
Cross.list-byid-people-json,1,1,0
Cross.list-byid-people-xml,1,1,0
Cross.list-byid-permissions,1,0,0
Cross.list-byid-permissions-json,1,1,0
Cross.list-byid-permissions-xml,1,1,0
Cross.list-byid-plandefinitions,1,0,0
Cross.list-byid-plandefinitions-json,1,1,0
Cross.list-byid-plandefinitions-xml,1,1,0
Cross.list-byid-practitionerroles,1,0,306
Cross.list-byid-practitionerroles-json,1,0,316
Cross.list-byid-practitionerroles-xml,1,1,314
Cross.list-byid-practitioners,1,0,306
Cross.list-byid-practitioners-json,1,0,316
Cross.list-byid-practitioners-xml,1,1,314
Cross.list-byid-procedures,1,1,0
Cross.list-byid-procedures-json,1,1,0
Cross.list-byid-procedures-xml,1,1,0
Cross.list-byid-provenances,1,0,0
Cross.list-byid-provenances-json,1,1,0
Cross.list-byid-provenances-xml,1,1,0
Cross.list-byid-questionnaireresponses,1,1,0
Cross.list-byid-questionnaireresponses-json,1,1,0
Cross.list-byid-questionnaireresponses-xml,1,1,0
Cross.list-byid-questionnaires,1,0,0
Cross.list-byid-questionnaires-json,1,0,0
Cross.list-byid-questionnaires-xml,1,1,0
Cross.list-byid-regulatedauthorizations,1,0,0
Cross.list-byid-regulatedauthorizations-json,1,0,0
Cross.list-byid-regulatedauthorizations-xml,1,0,0
Cross.list-byid-relatedpeople,1,0,0
Cross.list-byid-relatedpeople-json,1,0,0
Cross.list-byid-relatedpeople-xml,1,0,0
Cross.list-byid-requestorchestrations,1,0,0
Cross.list-byid-requestorchestrations-json,1,0,0
Cross.list-byid-requestorchestrations-xml,1,0,0
Cross.list-byid-requirements,1,0,0
Cross.list-byid-requirements-json,1,0,0
Cross.list-byid-requirements-xml,1,0,0
Cross.list-byid-researchstudies,1,0,0
Cross.list-byid-researchstudies-json,1,0,0
Cross.list-byid-researchstudies-xml,1,1,0
Cross.list-byid-researchsubjects,1,0,0
Cross.list-byid-researchsubjects-json,1,0,0
Cross.list-byid-researchsubjects-xml,1,0,0
Cross.list-byid-resources,1,0,0
Cross.list-byid-resources-json,1,0,0
Cross.list-byid-resources-xml,1,0,0
Cross.list-byid-riskassessments,1,1,0
Cross.list-byid-riskassessments-json,1,1,0
Cross.list-byid-riskassessments-xml,1,1,0
Cross.list-byid-schedules,1,1,0
Cross.list-byid-schedules-json,1,1,0
Cross.list-byid-schedules-xml,1,1,0
Cross.list-byid-searchparameters,1,0,352
Cross.list-byid-searchparameters-json,1,0,362
Cross.list-byid-searchparameters-xml,1,0,360
Cross.list-byid-servicerequests,1,0,0
Cross.list-byid-servicerequests-json,1,0,0
Cross.list-byid-servicerequests-xml,1,0,0
Cross.list-byid-slots,1,0,0
Cross.list-byid-slots-json,1,1,0
Cross.list-byid-slots-xml,1,1,0
Cross.list-byid-specimen,1,0,0
Cross.list-byid-specimen-json,1,0,0
Cross.list-byid-specimen-xml,1,0,0
Cross.list-byid-specimendefinitions,1,0,0
Cross.list-byid-specimendefinitions-json,1,1,0
Cross.list-byid-specimendefinitions-xml,1,1,0
Cross.list-byid-structuredefinitions,1,1,4924
Cross.list-byid-structuredefinitions-json,1,1,5029
Cross.list-byid-structuredefinitions-xml,1,1,5008
Cross.list-byid-structuremaps,1,0,0
Cross.list-byid-structuremaps-json,1,0,0
Cross.list-byid-structuremaps-xml,1,0,0
Cross.list-byid-subscriptions,1,0,0
Cross.list-byid-subscriptions-json,1,0,0
Cross.list-byid-subscriptions-xml,1,1,0
Cross.list-byid-subscriptionstatuses,1,1,0
Cross.list-byid-subscriptionstatuses-json,1,1,0
Cross.list-byid-subscriptionstatuses-xml,1,1,0
Cross.list-byid-subscriptiontopics,1,0,0
Cross.list-byid-subscriptiontopics-json,1,0,0
Cross.list-byid-subscriptiontopics-xml,1,0,0
Cross.list-byid-substancedefinitions,1,0,0
Cross.list-byid-substancedefinitions-json,1,0,0
Cross.list-byid-substancedefinitions-xml,1,0,0
Cross.list-byid-substancenucleicacids,1,0,0
Cross.list-byid-substancenucleicacids-json,1,0,0
Cross.list-byid-substancenucleicacids-xml,1,0,0
Cross.list-byid-substancepolymers,1,0,0
Cross.list-byid-substancepolymers-json,1,0,0
Cross.list-byid-substancepolymers-xml,1,0,0
Cross.list-byid-substanceproteins,1,0,0
Cross.list-byid-substanceproteins-json,1,0,0
Cross.list-byid-substanceproteins-xml,1,0,0
Cross.list-byid-substancereferenceinformations,1,0,0
Cross.list-byid-substancereferenceinformations-json,1,0,0
Cross.list-byid-substancereferenceinformations-xml,1,0,0
Cross.list-byid-substances,1,0,0
Cross.list-byid-substances-json,1,1,0
Cross.list-byid-substances-xml,1,1,0
Cross.list-byid-substancesourcematerials,1,0,0
Cross.list-byid-substancesourcematerials-json,1,0,0
Cross.list-byid-substancesourcematerials-xml,1,0,0
Cross.list-byid-supplydeliveries,1,0,0
Cross.list-byid-supplydeliveries-json,1,0,0
Cross.list-byid-supplydeliveries-xml,1,1,0
Cross.list-byid-supplyrequests,1,0,0
Cross.list-byid-supplyrequests-json,1,0,0
Cross.list-byid-supplyrequests-xml,1,1,0
Cross.list-byid-tasks,1,0,0
Cross.list-byid-tasks-json,1,0,0
Cross.list-byid-tasks-xml,1,0,0
Cross.list-byid-terminologycapabilities,1,0,0
Cross.list-byid-terminologycapabilities-json,1,0,0
Cross.list-byid-terminologycapabilities-xml,1,0,0
Cross.list-byid-testplans,1,0,0
Cross.list-byid-testplans-json,1,0,0
Cross.list-byid-testplans-xml,1,0,0
Cross.list-byid-testreports,1,0,0
Cross.list-byid-testreports-json,1,0,0
Cross.list-byid-testreports-xml,1,0,0
Cross.list-byid-testscripts,1,0,0
Cross.list-byid-testscripts-json,1,0,0
Cross.list-byid-testscripts-xml,1,0,0
Cross.list-byid-transports,1,0,0
Cross.list-byid-transports-json,1,0,0
Cross.list-byid-transports-xml,1,0,0
Cross.list-byid-valuesets,1,0,0
Cross.list-byid-valuesets-json,1,1,0
Cross.list-byid-valuesets-xml,1,1,0
Cross.list-byid-verificationresults,1,0,0
Cross.list-byid-verificationresults-json,1,1,0
Cross.list-byid-verificationresults-xml,1,1,0
Cross.list-byid-visionprescriptions,1,0,0
Cross.list-byid-visionprescriptions-json,1,0,0
Cross.list-byid-visionprescriptions-xml,1,0,0
Cross.list-canonicalresources,1,0,0
Cross.list-canonicalresources-json,1,0,0
Cross.list-canonicalresources-xml,1,0,0
Cross.list-capabilitystatements,1,2,2430
Cross.list-capabilitystatements-json,1,2,2470
Cross.list-capabilitystatements-xml,1,2,2462
Cross.list-careplans,1,0,0
Cross.list-careplans-json,1,0,0
Cross.list-careplans-xml,1,0,0
Cross.list-careteams,1,0,0
Cross.list-careteams-json,1,0,0
Cross.list-careteams-xml,1,0,0
Cross.list-chargeitemdefinitions,1,0,0
Cross.list-chargeitemdefinitions-json,1,0,0
Cross.list-chargeitemdefinitions-xml,1,0,0
Cross.list-chargeitems,1,0,0
Cross.list-chargeitems-json,1,0,0
Cross.list-chargeitems-xml,1,1,0
Cross.list-citations,1,0,0
Cross.list-citations-json,1,0,0
Cross.list-citations-xml,1,1,0
Cross.list-claimresponses,1,1,0
Cross.list-claimresponses-json,1,1,0
Cross.list-claimresponses-xml,1,1,0
Cross.list-claims,1,0,0
Cross.list-claims-json,1,0,0
Cross.list-claims-xml,1,0,0
Cross.list-clinicalimpressions,1,0,0
Cross.list-clinicalimpressions-json,1,0,0
Cross.list-clinicalimpressions-xml,1,0,0
Cross.list-clinicalusedefinitions,1,0,0
Cross.list-clinicalusedefinitions-json,1,1,0
Cross.list-clinicalusedefinitions-xml,1,1,0
Cross.list-codesystems,1,1,0
Cross.list-codesystems-json,1,1,0
Cross.list-codesystems-xml,1,2,0
Cross.list-communicationrequests,1,0,0
Cross.list-communicationrequests-json,1,0,0
Cross.list-communicationrequests-xml,1,1,0
Cross.list-communications,1,0,0
Cross.list-communications-json,1,0,0
Cross.list-communications-xml,1,0,0
Cross.list-compartmentdefinitions,1,0,0
Cross.list-compartmentdefinitions-json,1,0,0
Cross.list-compartmentdefinitions-xml,1,0,0
Cross.list-compositions,1,0,0
Cross.list-compositions-json,1,0,0
Cross.list-compositions-xml,1,0,0
Cross.list-conceptmaps,1,0,0
Cross.list-conceptmaps-json,1,0,0
Cross.list-conceptmaps-xml,1,0,0
Cross.list-conditiondefinitions,1,0,0
Cross.list-conditiondefinitions-json,1,0,0
Cross.list-conditiondefinitions-xml,1,0,0
Cross.list-conditions,1,0,0
Cross.list-conditions-json,1,0,0
Cross.list-conditions-xml,1,1,0
Cross.list-consents,1,0,0
Cross.list-consents-json,1,0,0
Cross.list-consents-xml,1,0,0
Cross.list-contracts,1,0,0
Cross.list-contracts-json,1,0,0
Cross.list-contracts-xml,1,0,0
Cross.list-coverageeligibilityrequests,1,0,0
Cross.list-coverageeligibilityrequests-json,1,1,0
Cross.list-coverageeligibilityrequests-xml,1,1,0
Cross.list-coverageeligibilityresponses,1,0,0
Cross.list-coverageeligibilityresponses-json,1,0,0
